molecula|n9FaHRing|n9FaRing|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|nFaHRing|RASA|PBF|FPSA3|PNSA5|RNCS|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
9_a4|0|0|7.535296702|1|1.300485838|2.130445484|-0.00136737|5.4161004020000005|0.016639331|0.040449735|-0.019160308|-0.064266379|0.010709527|-0.091393763|10.92992723|-0.0454860859999999|1|1|0.009731833|-0.030976753|-0.0475186259999999|-0.076824065|-0.172904817|2|0.801082857|1|0.937102792|0.472497372|0.009037784|-37.85762102|13.6577411|-0.025885299|2.676487872|45.21212204|-1.113067849|-15.58475436|43.71760622|33.55665428|0.43745176|509.9632679|-605.7219363|2012.840082|-7.665782805|0.207109566|0.777625327|5387.230364999999|112.7072422|17.76608225|0.010768243|-318.7769026|489.7528555|1.0|1.0|1.0|3.37|0.19|-8.16|5.14|5.07|43.6|3.15|0.0|105.09|1.0|-4.76|26.0|3.0|360.84|0.0|1.0|1.0|-5.15|1.73e-05|0.0062299999999999|7.06e-06|0.00255|0.0|2.49e-06|3.87|4.0137|-1489.554198|308.91|0.1217|0.5182100000000001|0.6464|-1489.36688|0.0584|-0.16948|-0.22204|0.02116575|5.4739|7.3188
25_a47|1|1|6.86171134|0|1.30432753|1.234859637|-0.010144825|4.727387819|-0.1084905069999999|0.043695652|-0.055724653|-0.486951604|-0.003963349|-0.035030495|10.94972207|0.002716049|1|1|-0.00269275|-0.120903298|-0.108691353|-0.235822787|-0.545763902|2|0.8462332770000001|1|0.786958319|0.574771479|0.020224271|-53.40631957|11.20142696|-0.031278972|7.453635586|51.5831002|-1.407553754|-27.0291331|71.17072517|56.80080434|0.4760601829999999|477.748546|-854.5011131000001|1514.111398|-11.52783528|0.376125772|0.908616158|6236.813862|228.3393366|30.43708613|0.029261935|-150.4037281|513.2159236|0.0|0.0|1.0|3.27|0.1|-8.01|3.29|4.95|84.73|3.08|0.0|109.7|1.0|-4.99|29.0|5.0|410.83|0.0|0.0|1.0|-4.82|1.01e-05|0.00417|1.52e-05|0.00626|0.0|4.02e-06|4.78|3.9878|-1735.414386|310.91|287.0|0.53663|0.68761|-1735.2218059999998|0.0702|-0.16588|-0.22919|0.0285712999999999|5.1625|7.8
14l_a23|1|1|7.423568444|0|1.1979636809999998|3.402752757|-0.005344736|5.351858133|-0.026530366|0.046283951|0.042748013|-0.288615723|0.01269616|-0.060692376|10.313217800000002|-0.061788679|2|2|0.01180744|0.07815878|-0.074441567|-0.136106024|-0.448622017|2|0.778602826|1|0.921267667|0.215920645|0.018669073|-51.59307331|40.34135162|-0.0328459689999999|8.125310915|81.90812552|-1.642298442|-23.306234600000003|61.54673359|47.64388017|0.492922575|607.777253|-1083.45454|2176.038061|-14.29549842|0.210373806|0.972085426|6444.7098240000005|138.7874759|27.44221375|0.01508774|-382.1434717|666.0036144999999|0.0|1.0|1.0|3.52|0.09|-7.78|3.88|4.33|105.02|3.24|1.0|125.25|1.0|-5.85|31.0|4.0|425.51|0.0|0.0|0.0|-5.25|1.43e-06|0.000608|5.61e-06|0.0023899999999999|0.0|7.03e-06|3.79|3.6274|-1669.2363289999998|341.8|0.4239|0.67242|0.67242|-1668.983787|0.4239|-0.14639|-0.2183|0.01168219|8.2422|8.1798
14p_a23|1|1|7.423568444|0|1.197963748|3.3252287430000003|-0.005975594|5.351858133|0.006191846|0.045165485|0.041987653|-0.310730878|0.009895793|-0.060144819|10.31321773|-0.053921569|2|2|0.009266617|0.080581604|-0.0686282459999999|-0.131709531|-0.4510651779999999|2|0.799506006|1|0.923455749|0.223758613|0.0221104079999999|-54.50240143|40.58186569|-0.033660197|10.06403753|84.65359899|-1.615689464|-28.69113861|67.36602512|57.44364296|0.464933687|623.0226425|-1090.0480289999998|2170.5738260000003|-15.32117727|0.248361701|0.868927227|6696.264498|167.5607773|30.21311441|0.0190667019999999|-339.5427625|646.2584547|0.0|1.0|1.0|3.28|0.04|-7.47|3.4|3.89|128.81|2.39|1.0|125.0|1.0|-5.68|32.0|5.0|436.49|0.0|0.0|0.0|-4.9|2.09e-06|0.0009109999999999|1.27e-05|0.00554|0.0|1.4800000000000002e-05|3.29|3.5752|-1722.181612|346.79|0.3802|0.6816|0.6816|-1721.933314|0.3802|-0.14774|-0.2382|0.02935511|9986.0|8.5302
12u_a30|0|0|7.412764017000001|2|0.604983445|0.0|-0.006935447|5.351858133|-0.027452346|0.043383838|-0.091507428|-0.367578706|0.002431329|0.028815747|10.31162873|-0.0646674999999999|1|1|0.001805829|-0.15896471|-0.0493878409999999|-0.0857954809999999|-0.467189145|1|0.83236194|0|0.84944095|0.477056017|0.015562896|-65.55148142|78.15130994|-0.03794847|6.982033926000001|0.0|-1.859475018|-34.72068676|75.26051582|62.26136323|0.443167712|568.9563615000001|-1245.478147|2608.6452440000003|-17.02494806|0.189537132|0.7958728709999999|7133.515802|126.9521524|31.36222814|0.014495402|-415.8966522|685.6665849999999|1.0|1.0|0.0|0.0|0.14|-7.8|5.11|3.92|81.65|3.79|0.0|137.3|1.0|-6.58|31.0|4.0|467.37|0.0|0.0|1.0|-6.04|2.64e-07|0.000123|9.14e-07|0.0004269999999999|0.0|7.39e-06|5.08|3.5003|-2494.962309|354.21|0.1502|0.6847|0.6847|-2494.736802|0.1502|-0.1486299999999999|-0.20146|0.03472994|7.0553|7.4647
22_a47|1|1|6.86171134|0|1.408617385|1.202720059|-0.010579222|4.727387819|-0.150248628|0.043695652|-0.029311184|-0.507802654|-0.006808306|-0.075111395|10.95023117|0.002716049|1|1|-0.004332497|-0.077468004|-0.1049885469999999|-0.277479519|-0.538310301|2|0.831122912|1|0.698649132|0.573087958|0.022154032|-52.67991531|12.19999546|-0.031744149|7.713126784|54.21581266|-1.42848671|-28.11203407|71.28682035|60.71546178|0.4614909829999999|412.2379505|-842.8786448999999|1494.441201|-11.05201291|0.390313552|0.8569791179999999|6107.923371|230.3045281|30.72175314|0.031534452|-129.440987|482.9384172|0.0|1.0|1.0|3.16|0.1|-7.69|3.07|4.85|84.73|2.97|0.0|104.64|1.0|-4.44|29.0|6.0|394.38|0.0|0.0|1.0|-4.38|3.6e-05|0.0142|4.16e-05|0.0164|0.0|8.11e-06|4.4|4017.0|-1375.05033|308.65|0.3367|0.50316|0.68312|-1374.857521|0.0799|-0.16704|-0.22828|0.02840507|5.7009|9.0
3m_a32|1|1|7.773594467000001|0|0.609420748|0.0|-0.006290106|5.733341277|-0.017268778|0.03962963|-0.0370712179999999|-0.3082152019999999|-0.000514191|-0.084132138|10.31100268|-0.078038283|3|3|0.000822186|-0.065422345|-0.04918838|-0.086806406|-0.49476131|0|0.817967125|1|0.798023273|0.317009723|0.013428623|-56.15082133|92.61088121|-0.027127559|4.801577352|0.0|-1.220740175|-30.25923462|67.1606709|58.63348955|0.4687361229999999|477.1904954|-729.9606772999999|2363.601309|-9.699808932|0.325531778|0.882303773|5724.714257|194.65681730000003|24.05057475|0.018412178|-208.6520032|554.9424306|1.0|1.0|1.0|2.93|0.3|-7.38|7.02|5.35|128.01|1.74|0.0|110.36|1.0|-5.94|27.0|4.0|394.51|0.0|0.0|1.0|-4.86|1.14e-06|0.000449|1.39e-05|0.00547|0.0|1.65e-05|5.1|3.5749|-1863.502681|346.82|0.2952|0.7026600000000001|0.7026600000000001|-1863.279862|0.2952|-0.14835|-0.2056599999999999|0.0339106999999999|8.0755|7.6383
13h_a6|0|0|6.842683282|0|1.424099498|0.0|-0.006619944|4.727387819|0.004767264|0.04393617|0.060987639|-0.3839567379999999|-0.002407131|-0.01698365|10.95053423|-0.090944829|1|1|-0.000644109|0.105918119|-0.12414699|-0.215607882|-0.468842137|2|0.780222427|1|0.867910741|0.300800177|0.017441348|-64.32173453|77.20799814|-0.032362302|8.529752344|0.0|-1.747564296|-36.26429338|76.78735663|64.05338768|0.461667017|606.9504647000001|-1222.112956|2829.19698|-15.82689691|0.263081412|0.8575863490000001|6302.785260000001|183.9790404|30.71129129|0.017825256|-331.36552|744.1359788|1.0|1.0|1.0|3.03|0.12|-10.57|5.41|4.79|103.17|1.13|0.0|128.63|0.0|-5.56|33.0|5.0|431.49|0.0|0.0|1.0|-5.06|2.77e-06|0.0012|8.8e-06|0.0038|0.0|1.15e-08|3.83|3392.0|-1386.613707|365.52|1.0978|0.50716|0.69001|-1386.302668|0.2121|-0.14097|-0.2153199999999999|0.04469058|10.0322|7.3279
8h_a8|0|0|7.05012252|0|1.3918396709999998|1.241306689|-0.010324979|4.844187086|-0.249095464|0.046205674|0.008138299|-0.485274006|-0.007796225|-0.085125857|10.94341368|0.007079485|1|1|-0.007036544|0.021094825|0.09830823|0.254819201|-0.53822084|0|0.6971223040000001|0|0.602405134|0.273425421|0.0111998669999999|-66.4523265|316.4918269|-0.048805507|3.871662077|53.78973456|-2.147442322|-42.41801879|70.94463092|78.73029948|0.451435543|354.18563860000006|-1262.594204|2019.780061|-16.87148841|0.081684095|0.822939833|5956.417906000001|48.02637252|31.2477685|0.00764059|-491.8998117|485.8626377000001|0.0|0.0|0.0|2.73|0.0|-7.95|4.69|4.72|80.88|4.11|0.0|105.27|1.0|-5.21|29.0|4.0|391.37|0.0|0.0|0.0|-5.0|6.11e-06|0.0023899999999999|1.01e-05|0.00395|0.0|4.43e-06|7.71|3.7327|-1361.651799|332.16|0.3011|0.56196|0.69844|-1361.455676|272.0|-0.15475|-0.21819|0.03330037|4.4356|4.9359
20a_a10|0|0|7.535296702|1|1.343837243|2.113798134|-0.0034618129999999|5.4161004020000005|0.049376168|0.036415094|-0.035536682|-0.197323337|0.008214031|-0.010695558|10.9296614|0.011011878|1|1|0.008297595|-0.058994157|-0.049146504|-0.081587712|-0.281099208|2|0.755429696|1|0.913681336|0.591835899|0.013618456|-47.37850712|66.52185003|-0.028008251|5.764636687|47.01787447|-1.456429076|-28.10115947|58.1398225|52.05222074|0.452402751|594.4519837|-947.5701424|2021.669282|-11.8557778|0.266548108|0.826159649|6729.996773999999|173.41938059999998|24.84485067|0.016540298|-303.7731758|719.5272609|1.0|1.0|1.0|3.63|0.11|-9.44|5.06|5.77|76.62|2.53|0.0|126.35|1.0|-5.68|33.0|5.0|429.47|0.0|0.0|1.0|-5.59|2.07e-06|0.000888|2.56e-06|0.0011|0.0|1.55e-07|3.98|3.8312|-1389.164302|323.62|0.2738|0.50193|0.6864600000000001|-1388.897416|107.0|-0.1613099999999999|-0.2274199999999999|0.03217287|3.2116|5.9208
